Real Estate Schedule,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Multifamily (conventional),,,,,,,,,,,,,,
,,,,,,Multifamily (Section 8 and/or LIHTC),,,,,,,,,,,,,,
,,,,,,Student Housing,,,,,,,,,,,,,,
15,St. Andrews at Weston,100 Bonaventure Blvd,Weston,FL ,Stabilized,Multifamily (conventional),208,1997,95%,1998,State Farm, Fixed ,8/1/2026," $26,115,043 "," $1,560,336 ", Amortizing ," $4,932,619 "," $2,115,596 "," $2,817,023 ", 1.81 
,,,,,,,,,,,Insurance Co.,,,,,,,,,
16,The Willows Apts,2460 Bear Valley Parkway,Escondido,CA,Stabilized,Multifamily (conventional),137,1980s,92%,1999,NorthMarq Capital, Fixed ,8/1/2028," $17,148,855 "," $754,550 ", Interest Only ," $3,351,253 "," $1,571,308 "," $1,779,945 ", 2.36 
,,,,,,,,,,,Freddie Mac,,,,,,,,,
17,Doral Grande Residences,74th Street and 107th Avenue,Doral,FL ,Stabilized,Multifamily (conventional),360,2014,93%,2006,Wells Fargo Bank, Fixed ,9/13/2023," $59,672,160 "," $3,104,606 ", Amortizing ," $9,516,132 "," $3,474,934 "," $6,041,198 ", 1.95 
,,,,,,,,,,,,,,,,,,,,
18,Rancho,11075 Carmel Mountain Rd,San Diego,CA,Stabilized,Retail,,1990s,100%,1975,N/A,,, $-   , $-   ,," $483,000 ", $-   ," $483,000 ", - 
,,,,,,,,,,,,,,,,,,,,
19,Boca Colony,6061 Boca Colony Drive,Boca Raton,FL ,Stabilized,Multifamily (conventional),180,1984,94%,2011,Freddie Mac, Fixed ,7/1/2028," $23,090,000 "," $1,009,033 ", Interest Only ," $3,723,341 "," $1,477,138 "," $2,246,203 ", 2.23 
,,,,,,,,,,,Grandbridge,,,,,,,,,
20,The Atlantic Howell Station,3655 Peachtree Ind. NW,Duluth,GA,Stabilized,Multifamily (conventional),228,1985,98%,2012,PNC, Fixed ,4/28/2024," $13,348,926 "," $768,000 ", Interest Only ," $3,808,607 "," $1,607,945 "," $2,200,662 ", 2.87 
,,,,,,,,,,,,,,,,,,,,
21,The Crossings,9323 Manchaca Road,Austin,TX,Stabilized,Multifamily (conventional),240,2000,95%,2012,Freddie Mac, Fixed ,2/1/2029," $23,776,000 "," $1,022,368 ", Interest Only ," $4,038,358 "," $2,111,905 "," $1,926,452 ", 1.88 
,,,,,,,,,,,,,,,,,,,,
22,Sutton Place,18600 N. Dallas Parkway,Dallas ,TX,Stabilized,Multifamily (conventional),456,1984,97%,2012,PNC, Fixed ,12/1/2031," $32,104,920 "," $1,114,041 ", Interest Only ," $5,889,588 "," $3,048,801 "," $2,840,787 ", 2.55 
,,,,,,,,,,,,,,,,,,,,
23,Logan's Mill,1912 East William Cannon,Austin ,TX,Stabilized,Multifamily (conventional),256,1986,91%,2012,Freddie Mac, Fixed ,12/1/2028," $18,000,000 "," $810,000 ", Interest Only ," $3,334,251 "," $1,816,174 "," $1,518,077 ", 1.87 
,,,,,,,,,,,,,,,,,,,,
24,Sloan Square,1555 Lavista Rd,Atlanta,GA,Stabilized,Multifamily (conventional),197,1990,94%,2013,Prudential, Variable ,4/10/2023," $22,173,552 "," $904,681 ", Interest Only ," $3,192,771 "," $1,312,167 "," $1,880,604 ", 2.08 
,,,,,,,,,,,,,,,,,,,,
25,Morningside Courts,594 Wimbledon Rd,Atlanta,GA,Stabilized,Multifamily (conventional),172,1990,94%,2013,Prudential, Variable ,4/10/2023," $19,209,363 "," $773,945 ", Interest Only ," $2,722,012 "," $1,368,673 "," $1,353,338 ", 1.75 
,,,,,,,,,,,,,,,,,,,,
26,Clifton ,1901 Briacliff Rd NE,Atlanta,GA,Stabilized,Multifamily (conventional),214,1986,92%,2014,Prudential, Variable ,4/10/2023," $28,309,674 "," $1,140,880 ", Interest Only ," $3,900,820 "," $1,838,273 "," $2,062,547 ", 1.81 
,,,,,,,,,,,,,,,,,,,,
27,Townview,300 Deering Road NW,Atlanta,GA,Stabilized,Multifamily (conventional),277,1992,93%,2014,Prudential, Variable ,4/10/2023," $32,206,808 "," $1,281,831 ", Interest Only ," $4,556,100 "," $2,059,274 "," $2,496,825 ", 1.95 
,,,,,,,,,,,,,,,,,,,,
28,Harris Bridge,1175 Old Harris Rd,Dallas ,GA,Stabilized,Multifamily (conventional),332,2006,94%,2015,Freddie Mac, Fixed ,12/9/2024," $18,993,000 "," $721,734 ", Interest Only ," $5,126,712 "," $1,978,254 "," $3,148,457 ", 4.36 
,,,,,,,,,,,,,,,,,,,,
29,Shiloh Valley,2100 Shiloh Valley Dr,Kennesaw,GA,Stabilized,Multifamily (conventional),300,2001,94%,2015,Freddie Mac, Fixed ,12/9/2024," $22,932,000 "," $871,416 ", Interest Only ," $5,170,649 "," $1,903,129 "," $3,267,520 ", 3.36 
,,,,,,,,,,,Freddie Mac, Fixed ,1/1/2025," $2,500,000 "," $101,750 ", Interest Only ,,,,
30,Carrington Green,745 Hwy 42 South,McDonough,GA,Stabilized,Multifamily (conventional),264,2004,94%,2015,Freddie Mac, Fixed ,12/9/2024," $15,600,000 "," $592,800 ", Interest Only ," $4,205,376 "," $1,764,295 "," $2,441,080 ", 4.12 
,,,,,,,,,,,,,,,,,,,,
31,Villas at Southpoint,1690 GA Hwy 20 West,McDonough,GA,Stabilized,Multifamily (conventional),284,2006,94%,2015,Freddie Mac, Fixed ,12/9/2024," $21,775,000 "," $827,450 ", Interest Only ," $5,168,086 "," $1,834,591 "," $3,333,494 ", 4.03 
,,,,,,,,,,,,,,,,,,,,
32,Barons,2101 US Hwy 80 E,Dallas ,TX,Stabilized,Multifamily (conventional),508,2002,94%,2015,Freddie Mac, Fixed ,12/9/2024," $28,015,000 "," $1,092,585 ", Interest Only ," $7,031,830 "," $3,632,315 "," $3,399,515 ", 3.11 
,,,,,,,,,,,,,,,,,,,,
33,Villas at West Road,9500 West Rd,Houston,TX,Stabilized,Multifamily (conventional),240,2006,94%,2015,Freddie Mac, Fixed ,1/13/2025," $22,230,000 "," $829,920 ", Interest Only ," $3,991,703 "," $1,959,177 "," $2,032,527 ", 2.45 
,,,,,,,,,,,,,,,,,,,,
34,Palazzo,1011 Wonder world Dr,San Marcos,TX,Stabilized,Multifamily (conventional),300,2001,93%,2014,Freddie Mac, Fixed ,11/1/2030," $29,700,000 "," $816,750 ", Interest Only ," $4,451,502 "," $2,191,488 "," $2,260,013 ", 2.77 
,,,,,,,,,,,,,,,,,,,,
35,Legacy Century Center,100 Windmont Dr,Brookhaven,GA,Stabilized,Multifamily (conventional),178,1990,96%,2015,Prudential, Variable ,4/10/2023," $17,384,155 "," $691,889 ", Interest Only ," $2,632,554 "," $1,180,479 "," $1,452,075 ", 2.10 
,,,,,,,,,,,,,,,,,,,,
